image_path,mask_path
GTA5/GTA5/images\00001.png,GTA5/GTA5/labels\00001.png
GTA5/GTA5/images\00002.png,GTA5/GTA5/labels\00002.png
GTA5/GTA5/images\00003.png,GTA5/GTA5/labels\00003.png
GTA5/GTA5/images\00004.png,GTA5/GTA5/labels\00004.png
GTA5/GTA5/images\00005.png,GTA5/GTA5/labels\00005.png
GTA5/GTA5/images\00006.png,GTA5/GTA5/labels\00006.png
GTA5/GTA5/images\00007.png,GTA5/GTA5/labels\00007.png
GTA5/GTA5/images\00008.png,GTA5/GTA5/labels\00008.png
GTA5/GTA5/images\00009.png,GTA5/GTA5/labels\00009.png
GTA5/GTA5/images\00010.png,GTA5/GTA5/labels\00010.png
GTA5/GTA5/images\00011.png,GTA5/GTA5/labels\00011.png
GTA5/GTA5/images\00012.png,GTA5/GTA5/labels\00012.png
GTA5/GTA5/images\00013.png,GTA5/GTA5/labels\00013.png
GTA5/GTA5/images\00014.png,GTA5/GTA5/labels\00014.png
GTA5/GTA5/images\00015.png,GTA5/GTA5/labels\00015.png
GTA5/GTA5/images\00016.png,GTA5/GTA5/labels\00016.png
GTA5/GTA5/images\00017.png,GTA5/GTA5/labels\00017.png
GTA5/GTA5/images\00018.png,GTA5/GTA5/labels\00018.png
GTA5/GTA5/images\00019.png,GTA5/GTA5/labels\00019.png
GTA5/GTA5/images\00020.png,GTA5/GTA5/labels\00020.png
GTA5/GTA5/images\00021.png,GTA5/GTA5/labels\00021.png
GTA5/GTA5/images\00022.png,GTA5/GTA5/labels\00022.png
GTA5/GTA5/images\00023.png,GTA5/GTA5/labels\00023.png
GTA5/GTA5/images\00024.png,GTA5/GTA5/labels\00024.png
GTA5/GTA5/images\00025.png,GTA5/GTA5/labels\00025.png
GTA5/GTA5/images\00026.png,GTA5/GTA5/labels\00026.png
GTA5/GTA5/images\00027.png,GTA5/GTA5/labels\00027.png
GTA5/GTA5/images\00028.png,GTA5/GTA5/labels\00028.png
GTA5/GTA5/images\00029.png,GTA5/GTA5/labels\00029.png
GTA5/GTA5/images\00030.png,GTA5/GTA5/labels\00030.png
GTA5/GTA5/images\00031.png,GTA5/GTA5/labels\00031.png
GTA5/GTA5/images\00032.png,GTA5/GTA5/labels\00032.png
GTA5/GTA5/images\00033.png,GTA5/GTA5/labels\00033.png
GTA5/GTA5/images\00034.png,GTA5/GTA5/labels\00034.png
GTA5/GTA5/images\00035.png,GTA5/GTA5/labels\00035.png
GTA5/GTA5/images\00036.png,GTA5/GTA5/labels\00036.png
GTA5/GTA5/images\00037.png,GTA5/GTA5/labels\00037.png
GTA5/GTA5/images\00038.png,GTA5/GTA5/labels\00038.png
GTA5/GTA5/images\00039.png,GTA5/GTA5/labels\00039.png
GTA5/GTA5/images\00040.png,GTA5/GTA5/labels\00040.png
GTA5/GTA5/images\00041.png,GTA5/GTA5/labels\00041.png
GTA5/GTA5/images\00042.png,GTA5/GTA5/labels\00042.png
GTA5/GTA5/images\00043.png,GTA5/GTA5/labels\00043.png
GTA5/GTA5/images\00044.png,GTA5/GTA5/labels\00044.png
